T112,-746.103667904746
T212,-1742.83015475776
T312,-2034.20593999719
T412,-1035.97733280542
T113,-2869.38853213652
T213,-2784.0433540401
T313,-2827.53963843599
T413,-1310.544341119
T114,-2610.30791165054
T214,-3066.50654214572
T314,-1793.57429984953
T414,-1283.70497699307
T115,-2983.38562829338
T215,-2357.71358489404
T315,-2390.31989853424
T415,-1207.00199885816
T116,-2160.99106544923
T216,-1650.26050886372
T316,-1047.65648185886
T416,441.467996938813
T117,-1108.73774079921
T217,-143.3083276359
T317,-324.862547733299
T417,-387.476579462446
T118,-1161.08758405593
T218,-578.423761638208
T318,-1237.71373452815
T418,82.6799960103331
T119,-1670.34659049331
T219,-616.589521503013
T319,-778.400290437242
T419,1384.88166706101
T120,-304.517772040391
T220,224.248451659003
T320,1051.06372397427
T420,1427.03776985814
T121,-1608.59029725793
T221,-1694.69722370903
T321,-1003.20878326329
T421,-966.869002210669
T122,-3551.41894203311
T222,-2848.74524764768
