"fecha","ejecutadocoesmw","ejecutadoseinmw","programadocoesmw","programadoseinmw","eje_progmw","eje_progseinmw"
"2020-12-01 15:00:00",6779.38603,6779.38603,6840.20673,6840.20673,-60.820700000000215,-60.820700000000215
"2020-12-01 15:30:00",6728.839170000001,6728.8391699999975,6785.558729999999,6785.558729999999,-56.71955999999773,-56.719560000001366
"2020-12-01 16:00:00",6678.56793,6678.56793,6718.56113,6718.56113,-39.99319999999989,-39.99319999999989
"2020-12-01 16:30:00",6612.745000000001,6612.744999999997,6632.77813,6632.77813,-20.03312999999889,-20.03313000000253
"2020-12-01 17:00:00",6582.264929999999,6582.2649299999985,6528.55293,6528.55293,53.711999999999534,53.711999999998625
"2020-12-01 17:30:00",6365.6993,6365.699300000001,6348.62313,6348.62313,17.076170000000275,17.076170000001184
"2020-12-01 18:00:00",6635.12377,6635.123769999998,6627.04513,6627.04513,8.078639999999723,8.078639999997904
"2020-12-01 18:30:00",6794.674840000001,6794.674840000001,6744.203030000001,6744.203030000001,50.471810000000005,50.471810000000005
"2020-12-01 19:00:00",6815.505709999999,6815.505710000001,6808.896930000001,6808.896930000001,6.60877999999866,6.608780000000479
"2020-12-01 19:30:00",6779.70802,6779.708020000002,6741.44973,6741.44973,38.25828999999976,38.25829000000158
"2020-12-01 20:00:00",6745.754800000001,6745.754799999999,6724.68423,6724.68423,21.07057000000077,21.070569999998952
"2020-12-01 20:30:00",6698.720080000001,6698.72008,6683.83153,6683.83153,14.888550000000578,14.888549999999668
"2020-12-01 21:00:00",6683.75054,6683.750539999999,6714.30663,6714.30663,-30.55609000000004,-30.55609000000095
"2020-12-01 21:30:00",6596.26086,6596.260860000001,6660.782330000001,6660.782330000001,-64.52147000000059,-64.52146999999968
"2020-12-01 22:00:00",6476.600799999999,6476.6008,6615.46273,6615.46273,-138.86193000000094,-138.86193000000003
"2020-12-01 22:30:00",6372.52334,6372.523339999999,6424.44563,6424.44563,-51.92229000000043,-51.92229000000134
"2020-12-01 23:00:00",6226.26744,6226.267439999996,6216.6751300000005,6216.6751300000005,9.592309999999088,9.59230999999545
"2020-12-01 23:30:00",6066.58224,6066.582239999999,6069.45593,6069.45593,-2.8736900000003516,-2.873690000001261
"2020-01-02 00:00:00",5186.793899999999,5221.293900000002,5192.56458,5192.56458,-5.770680000001448,28.72932000000219
